latitude,longitude,corridor,soil_moisture,water_pressure,acceleration,tilt_angle,temperature,humidity,rainfall,antecedent_rainfall_7d,slope_angle_deg,factor_of_safety,landslide_triggered
27.3084,88.5911,"Gangtok, Sikkim",51.86,15.62,9.794,0.016,20.8,67.2,23.01,77.35,38.02,1.206,0
27.3567,88.6407,"Gangtok, Sikkim",57.48,20.75,11.2,4.212,19.1,76.1,19.67,107.89,33.79,1.191,1
27.3088,88.5812,"Gangtok, Sikkim",31.6,0.0,9.791,0.023,15.3,49.2,1.7,11.04,38.02,1.656,0
27.3712,88.5713,"Gangtok, Sikkim",45.61,8.91,9.846,0.015,23.8,64.4,15.02,73.85,42.96,1.271,0
27.315,88.6298,"Gangtok, Sikkim",45.95,9.47,9.787,0.016,21.0,62.3,6.86,38.02,36.35,1.437,0
27.3055,88.6393,"Gangtok, Sikkim",59.0,21.54,10.419,4.065,11.4,63.3,166.44,479.86,43.07,0.95,1
27.338,88.6013,"Gangtok, Sikkim",44.18,7.83,9.819,0.087,17.3,63.0,0.62,23.8,25.5,2.052,0
27.3024,88.6245,"Gangtok, Sikkim",59.0,17.4,9.817,0.052,13.6,70.4,103.35,351.61,39.95,1.102,0
27.3773,88.6257,"Gangtok, Sikkim",29.23,0.0,9.798,0.004,23.6,41.9,5.27,26.28,36.87,1.696,0
27.3206,88.6264,"Gangtok, Sikkim",24.27,0.0,9.861,0.002,16.3,49.7,3.48,7.6,35.24,1.758,0
27.3399,88.6419,"Gangtok, Sikkim",48.41,12.48,9.791,0.015,12.8,67.8,14.24,53.82,36.89,1.331,0
27.3349,88.5802,"Gangtok, Sikkim",50.62,11.66,9.805,0.02,17.4,64.4,17.61,62.47,28.15,1.74,0
27.299,88.5846,"Gangtok, Sikkim",39.05,2.31,9.752,0.031,24.0,57.3,3.37,10.72,35.58,1.676,0
27.3453,88.5735,"Gangtok, Sikkim",28.4,0.0,9.801,0.005,21.3,50.1,0.61,5.77,38.0,1.657,0
27.2929,88.6014,"Gangtok, Sikkim",59.0,18.97,11.26,7.184,16.0,65.0,100.96,289.05,42.71,0.994,1
27.3236,88.5985,"Gangtok, Sikkim",35.58,0.0,9.783,0.075,17.3,48.4,0.12,65.67,34.32,1.796,0
27.3343,88.6331,"Gangtok, Sikkim",59.0,18.75,10.161,3.45,21.8,68.6,275.28,657.97,33.1,1.278,1
27.385,88.5827,"Gangtok, Sikkim",37.56,1.5,9.783,0.05,23.3,59.9,11.85,41.72,34.39,1.748,0
27.3831,88.5793,"Gangtok, Sikkim",49.86,11.52,9.808,0.006,12.1,76.8,4.66,75.34,40.34,1.259,0
27.3644,88.6246,"Gangtok, Sikkim",30.92,0.0,9.803,0.032,18.6,54.8,3.4,29.91,37.88,1.661,0
27.2941,88.629,"Gangtok, Sikkim",59.0,16.71,9.798,0.117,16.6,75.9,274.99,750.0,34.28,1.296,0
27.379,88.6495,"Gangtok, Sikkim",59.0,23.48,11.51,3.488,16.1,69.0,185.06,667.54,38.66,0.971,1
27.3574,88.6352,"Gangtok, Sikkim",37.46,1.71,9.795,0.007,23.1,61.3,1.78,15.45,36.91,1.645,0
27.2961,88.5726,"Gangtok, Sikkim",41.74,5.98,9.809,0.113,12.8,58.3,11.37,47.88,40.57,1.411,0
27.3151,88.6096,"Gangtok, Sikkim",42.64,6.75,9.807,0.068,21.1,55.2,2.19,14.04,33.55,1.625,0
27.3275,88.6222,"Gangtok, Sikkim",30.0,0.0,9.818,0.036,10.0,54.8,9.03,31.32,35.12,1.762,0
27.3335,88.634,"Gangtok, Sikkim",34.08,0.0,9.804,0.071,15.2,61.9,10.7,42.43,34.85,1.774,0
27.3603,88.6312,"Gangtok, Sikkim",59.0,16.49,10.953,6.223,18.1,79.6,173.38,549.2,30.35,1.465,1
27.3718,88.6399,"Gangtok, Sikkim",30.62,0.0,9.833,0.048,13.0,65.3,0.43,10.2,37.74,1.665,0
27.3669,88.5631,"Gangtok, Sikkim",28.36,0.0,9.828,0.058,26.4,44.6,0.46,26.49,37.6,1.67,0
27.3512,88.5585,"Gangtok, Sikkim",34.13,0.0,9.809,0.158,15.3,51.2,0.32,17.92,36.52,1.708,0
27.3633,88.5626,"Gangtok, Sikkim",50.54,15.04,9.846,0.004,15.0,62.7,16.12,99.84,35.51,1.302,0
27.3872,88.6179,"Gangtok, Sikkim",59.0,19.42,12.259,1.332,15.4,69.8,247.65,750.0,30.56,1.362,1
27.3071,88.6033,"Gangtok, Sikkim",45.7,8.6,9.805,0.166,20.2,72.2,19.09,113.81,34.73,1.522,0
27.3716,88.5745,"Gangtok, Sikkim",59.0,21.39,10.92,7.409,21.4,68.5,200.98,667.02,35.06,1.129,1
27.3426,88.5569,"Gangtok, Sikkim",39.16,2.56,9.815,0.101,16.3,55.0,7.24,42.95,33.13,1.771,0
27.3677,88.576,"Gangtok, Sikkim",59.0,23.19,9.782,0.0,19.2,82.7,119.72,379.85,35.82,1.051,0
27.3276,88.6095,"Gangtok, Sikkim",35.66,0.0,9.754,0.002,19.5,57.6,14.98,34.81,38.2,1.65,0
27.3034,88.6492,"Gangtok, Sikkim",43.58,6.13,9.818,0.024,12.5,55.9,3.83,70.19,44.42,1.319,0
27.3358,88.5797,"Gangtok, Sikkim",27.22,0.0,9.835,0.088,17.5,47.7,1.56,7.23,37.23,1.683,0
27.3624,88.6459,"Gangtok, Sikkim",46.18,9.36,9.78,0.007,15.6,54.1,9.74,44.58,37.58,1.4,0
27.3802,88.5996,"Gangtok, Sikkim",38.7,2.51,9.842,0.029,12.1,56.7,4.75,16.74,36.19,1.647,0
27.3248,88.6494,"Gangtok, Sikkim",59.0,20.51,9.761,0.008,18.8,75.6,136.77,518.25,28.44,1.427,0
27.2942,88.6316,"Gangtok, Sikkim",50.68,13.99,9.793,0.015,21.8,68.9,12.49,62.44,36.39,1.303,0
27.3067,88.6031,"Gangtok, Sikkim",59.0,17.29,12.132,8.326,18.2,86.4,217.29,552.25,36.75,1.195,1
27.3843,88.6146,"Gangtok, Sikkim",35.18,0.0,9.821,0.023,10.0,59.4,11.62,47.48,46.85,1.448,0
27.3412,88.5627,"Gangtok, Sikkim",51.33,15.67,9.801,0.014,16.3,61.6,9.43,122.39,35.69,1.277,0
27.3166,88.5568,"Gangtok, Sikkim",43.51,6.81,9.818,0.03,14.6,62.6,16.16,50.15,37.77,1.468,0
27.3764,88.621,"Gangtok, Sikkim",37.74,1.82,9.846,0.072,24.8,56.7,14.69,44.71,36.35,1.661,0
27.3007,88.5928,"Gangtok, Sikkim",59.0,22.63,11.414,5.946,16.7,86.3,193.31,528.57,31.59,1.216,1
27.37,88.5705,"Gangtok, Sikkim",59.0,18.96,10.464,8.201,11.9,72.5,260.56,707.96,41.3,1.026,1
27.3119,88.6106,"Gangtok, Sikkim",44.36,8.76,9.795,0.019,17.8,63.5,24.82,87.17,39.66,1.356,0
27.3034,88.5948,"Gangtok, Sikkim",41.46,5.23,9.831,0.029,20.4,61.8,6.79,30.49,39.82,1.452,0
27.3871,88.6109,"Gangtok, Sikkim",59.0,19.33,12.216,1.691,18.4,68.7,162.2,315.83,32.68,1.276,1
27.3591,88.6228,"Gangtok, Sikkim",59.0,21.25,11.71,8.376,14.9,66.0,198.26,394.33,42.39,0.951,1
27.3101,88.6411,"Gangtok, Sikkim",38.12,2.04,9.809,0.017,16.2,56.0,10.48,47.49,30.61,1.914,0
27.3011,88.6487,"Gangtok, Sikkim",31.15,0.0,9.77,0.06,20.9,55.5,0.88,14.59,38.96,1.626,0
27.3105,88.652,"Gangtok, Sikkim",45.06,8.87,9.824,0.068,18.4,55.4,26.72,90.06,45.7,1.218,0
27.3687,88.5736,"Gangtok, Sikkim",24.55,0.0,9.849,0.111,25.7,45.3,0.38,6.63,32.34,1.888,0
27.3049,88.565,"Gangtok, Sikkim",59.0,22.15,11.154,2.198,18.4,71.1,71.87,231.44,34.12,1.137,1
27.3136,88.6224,"Gangtok, Sikkim",39.32,2.65,9.813,0.038,12.2,46.8,17.07,55.61,36.92,1.617,0
27.3409,88.6178,"Gangtok, Sikkim",54.5,16.29,9.834,0.243,17.2,72.7,36.72,102.39,34.39,1.304,0
27.292,88.5645,"Gangtok, Sikkim",59.0,21.93,9.797,0.212,15.9,77.6,217.53,671.53,29.99,1.307,0
27.3581,88.6413,"Gangtok, Sikkim",59.0,23.61,11.38,4.981,12.1,79.2,266.77,750.0,36.79,1.01,1
27.3248,88.5731,"Gangtok, Sikkim",45.92,9.98,9.821,0.047,18.5,68.7,6.7,28.61,32.04,1.592,0
27.3197,88.5977,"Gangtok, Sikkim",42.38,6.47,9.723,0.066,16.4,60.4,4.82,22.6,38.49,1.455,0
27.3519,88.5974,"Gangtok, Sikkim",59.0,17.99,11.089,2.222,18.6,77.6,195.19,601.17,32.64,1.319,1
27.3786,88.5966,"Gangtok, Sikkim",48.2,12.03,10.754,1.561,24.9,67.1,9.92,53.59,43.01,1.182,1
27.307,88.5813,"Gangtok, Sikkim",39.74,2.99,9.815,0.043,17.5,43.3,7.83,29.26,33.21,1.755,0
27.3354,88.6347,"Gangtok, Sikkim",35.9,0.12,9.809,0.002,21.9,46.5,1.33,14.19,35.15,1.758,0
27.3758,88.575,"Gangtok, Sikkim",34.7,0.0,9.813,0.115,17.3,50.1,11.38,62.98,39.92,1.598,0
27.2892,88.6434,"Gangtok, Sikkim",44.79,8.79,9.846,0.169,19.6,63.4,16.07,34.91,31.33,1.663,0
27.3117,88.6387,"Gangtok, Sikkim",46.62,7.92,9.821,0.002,18.4,66.2,17.49,70.15,37.46,1.446,0
27.344,88.5969,"Gangtok, Sikkim",49.26,9.97,9.74,0.093,19.0,70.8,28.29,83.62,41.99,1.263,0
27.3036,88.6237,"Gangtok, Sikkim",39.86,3.18,9.868,0.029,17.5,62.9,6.32,20.19,29.75,1.927,0
27.3707,88.6026,"Gangtok, Sikkim",55.05,16.98,9.753,0.053,23.5,72.9,36.71,126.32,37.28,1.188,0
27.3335,88.632,"Gangtok, Sikkim",45.76,9.81,11.675,2.257,20.4,66.9,24.07,59.51,37.59,1.387,1
27.3389,88.6351,"Gangtok, Sikkim",33.78,0.0,9.763,0.048,18.4,62.9,4.22,23.97,39.78,1.602,0
27.2943,88.6423,"Gangtok, Sikkim",39.81,3.54,9.853,0.041,21.4,61.3,2.08,26.22,31.3,1.83,0
27.3151,88.5734,"Gangtok, Sikkim",59.0,17.38,9.802,0.115,18.5,74.9,76.38,173.61,30.95,1.409,0
27.2921,88.6399,"Gangtok, Sikkim",50.8,11.74,9.822,0.069,22.2,70.9,6.17,93.27,38.69,1.298,0
27.2949,88.6519,"Gangtok, Sikkim",46.9,8.21,9.75,0.032,13.5,69.8,10.29,57.22,37.75,1.428,0
27.3454,88.6264,"Gangtok, Sikkim",32.34,0.0,9.832,0.07,26.1,61.8,10.51,64.78,37.55,1.672,0
27.3614,88.5858,"Gangtok, Sikkim",59.0,20.59,10.997,7.021,18.6,68.6,130.21,374.85,37.96,1.064,1
27.3695,88.6511,"Gangtok, Sikkim",33.77,0.0,9.829,0.005,13.7,43.9,8.56,35.27,33.64,1.826,0
27.3259,88.64,"Gangtok, Sikkim",41.07,5.16,9.838,0.029,20.8,61.2,1.33,8.54,37.48,1.525,0
27.3661,88.6155,"Gangtok, Sikkim",39.62,3.92,9.815,0.123,22.9,50.0,23.45,64.66,37.73,1.553,0
27.3257,88.598,"Gangtok, Sikkim",34.85,0.0,9.804,0.081,14.1,53.1,4.45,25.59,33.5,1.833,0
27.3197,88.5991,"Gangtok, Sikkim",59.0,16.25,11.363,7.1,16.2,86.0,226.53,750.0,44.34,1.037,1
27.3879,88.5928,"Gangtok, Sikkim",59.0,22.1,11.848,6.741,21.8,75.2,162.02,343.25,38.49,1.006,1
27.3555,88.5885,"Gangtok, Sikkim",51.42,11.84,9.846,0.119,20.1,68.8,38.11,94.83,31.5,1.559,0
27.3356,88.5649,"Gangtok, Sikkim",37.79,1.65,9.785,0.094,16.3,54.7,1.15,17.28,39.26,1.57,0
27.3652,88.6226,"Gangtok, Sikkim",36.21,0.38,9.755,0.101,17.0,64.8,3.15,21.37,32.41,1.873,0
27.3236,88.609,"Gangtok, Sikkim",59.0,23.06,11.547,6.456,13.2,77.7,237.57,671.35,39.81,0.963,1
27.3761,88.5609,"Gangtok, Sikkim",44.5,7.94,9.828,0.003,14.2,60.0,14.65,49.73,41.37,1.335,0
27.3819,88.6036,"Gangtok, Sikkim",59.0,16.42,9.801,0.046,11.6,84.0,95.0,274.13,33.05,1.351,0
27.3749,88.6426,"Gangtok, Sikkim",59.0,16.23,11.941,7.271,16.7,76.3,225.05,622.58,40.55,1.121,1
27.2948,88.6347,"Gangtok, Sikkim",59.0,17.63,11.381,6.231,20.6,72.7,257.18,667.47,38.23,1.142,1
27.3622,88.5608,"Gangtok, Sikkim",39.48,2.98,9.721,0.081,17.0,46.0,10.71,31.92,39.95,1.512,0
27.383,88.62,"Gangtok, Sikkim",39.49,3.18,9.818,0.054,22.2,59.4,11.93,55.66,44.47,1.4,0
27.3057,88.5688,"Gangtok, Sikkim",43.92,7.9,9.84,0.021,15.5,59.6,22.4,87.14,35.47,1.515,0
27.3451,88.5624,"Gangtok, Sikkim",36.23,0.38,9.759,0.055,12.3,53.9,4.23,24.87,33.33,1.828,0
27.3053,88.6513,"Gangtok, Sikkim",59.0,18.97,11.208,8.329,22.4,72.9,124.44,321.29,32.76,1.284,1
27.3634,88.6178,"Gangtok, Sikkim",58.61,18.3,9.846,0.0,19.4,63.8,28.37,85.11,33.07,1.292,0
27.3098,88.5784,"Gangtok, Sikkim",57.64,15.23,9.81,0.031,22.7,89.4,27.75,101.87,36.18,1.274,0
27.3335,88.6319,"Gangtok, Sikkim",59.0,23.36,12.055,5.116,16.7,71.0,45.0,173.37,37.93,0.985,1
27.2893,88.5609,"Gangtok, Sikkim",59.0,17.17,11.095,2.367,24.0,79.2,167.13,476.64,37.66,1.172,1
27.3759,88.6379,"Gangtok, Sikkim",31.08,0.0,9.802,0.048,13.9,50.1,1.63,7.09,39.97,1.596,0
27.3584,88.6065,"Gangtok, Sikkim",38.24,1.83,9.835,0.122,16.9,41.1,20.83,88.7,36.55,1.654,0
27.3034,88.5667,"Gangtok, Sikkim",34.06,0.0,9.867,0.008,19.5,53.1,6.33,28.28,42.6,1.529,0
27.3794,88.5948,"Gangtok, Sikkim",59.0,23.18,9.793,0.2,16.2,75.9,56.26,188.65,35.39,1.065,0
27.3585,88.6021,"Gangtok, Sikkim",59.0,16.88,11.22,2.032,18.9,71.9,104.97,397.16,47.92,0.958,1
27.362,88.5758,"Gangtok, Sikkim",40.5,3.98,9.78,0.055,22.7,68.1,9.68,59.65,39.13,1.508,0
27.3374,88.5942,"Gangtok, Sikkim",59.0,16.28,9.815,0.004,19.4,85.9,113.12,442.51,32.9,1.361,0
27.3134,88.6163,"Gangtok, Sikkim",31.95,0.0,9.805,0.036,17.3,53.9,4.66,28.79,32.0,1.905,0
27.3426,88.6061,"Gangtok, Sikkim",26.12,0.0,9.845,0.012,22.7,49.7,0.94,23.83,38.53,1.64,0
27.348,88.5708,"Gangtok, Sikkim",59.0,21.42,12.283,4.361,19.9,68.2,107.23,322.63,35.56,1.111,1
27.326,88.589,"Gangtok, Sikkim",45.78,8.49,9.834,0.013,18.0,57.0,19.47,85.12,39.5,1.368,0
27.3658,88.5601,"Gangtok, Sikkim",37.35,1.59,9.841,0.039,17.7,52.8,1.8,24.81,38.49,1.596,0
27.3171,88.6483,"Gangtok, Sikkim",59.0,19.22,10.827,3.045,16.6,87.2,137.13,325.24,36.19,1.156,1
27.3189,88.5717,"Gangtok, Sikkim",48.42,10.91,9.781,0.012,21.2,62.9,11.8,64.93,32.94,1.524,0
27.3646,88.5613,"Gangtok, Sikkim",41.68,5.46,9.823,0.017,21.3,68.3,6.31,26.33,30.14,1.831,0
27.3315,88.642,"Gangtok, Sikkim",42.59,5.9,9.811,0.002,22.8,56.9,3.52,37.97,34.62,1.607,0
27.3843,88.5814,"Gangtok, Sikkim",48.23,9.42,9.87,0.076,19.6,60.2,23.57,87.72,40.1,1.325,0
27.3185,88.6132,"Gangtok, Sikkim",41.53,4.6,9.752,0.022,15.9,57.3,14.46,76.39,37.4,1.544,0
27.3116,88.5716,"Gangtok, Sikkim",48.44,9.18,9.829,0.072,19.2,63.0,9.52,46.39,31.27,1.654,0
27.3315,88.5637,"Gangtok, Sikkim",35.73,0.0,9.828,0.064,15.9,51.0,11.29,86.26,37.23,1.683,0
27.3783,88.5899,"Gangtok, Sikkim",26.12,0.0,9.787,0.004,18.6,56.6,1.15,6.76,38.12,1.653,0
27.3225,88.6356,"Gangtok, Sikkim",59.0,17.01,12.024,2.629,23.3,74.8,240.44,633.94,32.79,1.343,1
27.3231,88.6326,"Gangtok, Sikkim",37.63,1.69,9.8,0.05,22.5,55.8,2.58,23.87,37.15,1.637,0
27.307,88.6094,"Gangtok, Sikkim",23.98,0.0,9.761,0.15,21.4,45.5,2.8,9.4,36.74,1.7,0
27.3658,88.6015,"Gangtok, Sikkim",59.0,18.67,12.145,1.918,17.9,80.6,218.17,726.56,31.7,1.336,1
27.2961,88.6302,"Gangtok, Sikkim",52.93,13.15,9.891,0.042,21.4,70.1,29.06,105.66,38.0,1.277,0
27.3383,88.5881,"Gangtok, Sikkim",36.24,0.48,9.8,0.083,15.6,57.6,6.21,25.52,38.86,1.616,0
27.3882,88.6441,"Gangtok, Sikkim",32.83,0.0,9.791,0.098,12.4,59.0,2.79,14.34,41.05,1.567,0
27.2927,88.6159,"Gangtok, Sikkim",59.0,16.91,10.577,5.418,19.0,68.7,191.39,430.59,40.93,1.092,1
27.3244,88.5602,"Gangtok, Sikkim",59.0,19.21,12.253,4.457,16.6,70.1,285.41,750.0,30.71,1.362,1
27.29,88.6149,"Gangtok, Sikkim",35.31,0.0,9.792,0.013,24.8,55.7,16.56,59.07,32.56,1.877,0
27.3209,88.6268,"Gangtok, Sikkim",44.2,7.44,9.846,0.087,24.2,58.3,24.37,87.1,38.66,1.422,0
27.3343,88.6331,"Gangtok, Sikkim",59.0,20.8,12.065,5.788,15.4,73.8,123.46,333.68,38.66,1.039,1
27.3702,88.6222,"Gangtok, Sikkim",47.76,10.55,9.788,0.033,20.6,59.0,16.73,84.67,38.66,1.333,0
27.3307,88.6553,"Gangtok, Sikkim",59.0,22.17,11.591,5.423,10.5,70.0,153.32,401.64,52.68,0.982,1
27.3196,88.608,"Gangtok, Sikkim",40.51,3.8,9.775,0.071,19.3,66.1,5.14,51.29,38.9,1.52,0
27.3409,88.5993,"Gangtok, Sikkim",36.66,0.84,9.824,0.079,19.2,54.0,5.92,16.51,41.27,1.538,0
27.301,88.5919,"Gangtok, Sikkim",35.67,0.0,9.82,0.013,14.2,52.6,8.59,46.58,40.51,1.582,0
